fold,SingleXGB,MultiXGB,CNN,Hybrid
1,0.9277083333333334,0.9529166666666666,0.8575,0.9293750000000001
2,0.9258333333333333,0.9504166666666667,0.8797916666666667,0.9275
3,0.9202083333333333,0.9429166666666666,0.8827083333333333,0.930625
4,0.9252083333333333,0.95375,0.8925000000000001,0.920625
5,0.920625,0.9535416666666666,0.9083333333333333,0.9291666666666667
